,Sentiment,Word,Count
0,anti,climate,2255
1,anti,change,2172
2,anti,global,1900
3,anti,warming,1822
4,anti,us,187
5,anti,science,173
6,anti,obama,171
7,anti,hoax,168
8,anti,real,162
9,anti,people,162
10,anti,weather,140
11,anti,believe,137
12,anti,years,131
13,anti,like,131
14,anti,trump,127
15,neutral,climate,4512
16,neutral,change,4444
17,neutral,global,3191
18,neutral,warming,3058
19,neutral,trump,400
20,neutral,like,312
21,neutral,real,291
22,neutral,us,280
23,neutral,believe,226
24,neutral,think,206
25,neutral,people,196
26,neutral,one,187
27,neutral,im,186
28,neutral,said,176
29,neutral,dont,169
30,pro,climate,19042
31,pro,change,18953
32,pro,global,4242
33,pro,warming,3826
34,pro,believe,1920
35,pro,trump,1860
36,pro,doesnt,1271
37,pro,real,1271
38,pro,us,1114
39,pro,people,1109
40,pro,going,1078
41,pro,shes,1040
42,pro,world,1038
43,pro,fight,827
44,pro,like,775
45,news,change,8033
46,news,climate,7999
47,news,trump,1570
48,news,global,1393
49,news,warming,1215
50,news,via,714
51,news,us,653
52,news,says,642
53,news,new,567
54,news,epa,493
55,news,scientists,470
56,news,study,394
57,news,fight,394
58,news,could,369
59,news,trumps,327
